Date,Time,Geno,Depth,Type,No.,1:F,1:Fm',1:PAR,1:Y (II),1:ETR
3/31/2023,19:29:30,1,Deep,FO,13852,624,1553,0,0.598,0
3/31/2023,19:29:50,1,Deep,F,13853,767,1478,26,0.481,5.3
3/31/2023,19:30:10,1,Deep,F,13854,715,1309,46,0.454,8.8
3/31/2023,19:30:30,1,Deep,F,13855,659,1179,66,0.441,12.2
3/31/2023,19:30:50,1,Deep,F,13856,639,1103,91,0.421,16.1
3/31/2023,19:31:10,1,Deep,F,13857,629,1036,126,0.393,20.8
3/31/2023,19:31:30,1,Deep,F,13858,643,987,191,0.349,28
3/31/2023,19:31:50,1,Deep,F,13859,652,926,286,0.296,35.6
3/31/2023,19:32:10,1,Deep,F,13860,663,862,423,0.231,41
3/31/2023,19:32:30,1,Deep,F,13861,654,789,633,0.171,45.5
3/31/2023,19:32:50,1,Deep,F,13862,620,719,827,0.138,47.9
3/31/2023,19:33:10,1,Deep,F,13863,602,664,1156,0.093,45.2
3/31/2023,19:33:30,1,Deep,F,13864,571,609,1507,0.062,39.2
3/31/2023,19:34:25,2,Deep,FO,13865,416,1193,0,0.651,0
3/31/2023,19:34:45,2,Deep,F,13866,542,1170,25,0.537,5.6
3/31/2023,19:35:05,2,Deep,F,13867,557,1120,46,0.503,9.7
3/31/2023,19:35:25,2,Deep,F,13868,567,1074,66,0.472,13.1
3/31/2023,19:35:45,2,Deep,F,13869,579,1049,91,0.448,17.1
3/31/2023,19:36:05,2,Deep,F,13870,593,1027,126,0.423,22.4
3/31/2023,19:36:25,2,Deep,F,13871,624,994,191,0.372,29.8
3/31/2023,19:36:45,2,Deep,F,13872,657,956,286,0.313,37.6
3/31/2023,19:37:05,2,Deep,F,13873,692,925,423,0.252,44.8
3/31/2023,19:37:25,2,Deep,F,13874,727,890,633,0.183,48.7
3/31/2023,19:37:45,2,Deep,F,13875,731,856,827,0.146,50.7
3/31/2023,19:38:05,2,Deep,F,13876,738,822,1156,0.102,49.5
3/31/2023,19:38:25,2,Deep,F,13877,733,793,1507,0.076,48.1
3/31/2023,19:38:58,3,Deep,FO,13878,388,1000,0,0.612,0
3/31/2023,19:39:18,3,Deep,F,13879,467,978,25,0.522,5.5
3/31/2023,19:39:38,3,Deep,F,13880,446,928,46,0.519,10
3/31/2023,19:39:58,3,Deep,F,13881,435,885,66,0.508,14.1
3/31/2023,19:40:18,3,Deep,F,13882,434,859,91,0.495,18.9
3/31/2023,19:40:38,3,Deep,F,13883,446,844,126,0.472,25
3/31/2023,19:40:57,3,Deep,F,13884,473,828,191,0.429,34.4
3/31/2023,19:41:17,3,Deep,F,13885,501,801,286,0.375,45
3/31/2023,19:41:37,3,Deep,F,13886,516,753,422,0.315,55.8
3/31/2023,19:41:57,3,Deep,F,13887,520,693,632,0.25,66.4
3/31/2023,19:42:17,3,Deep,F,13888,493,618,826,0.202,70.1
3/31/2023,19:42:37,3,Deep,F,13889,468,550,1156,0.149,72.3
3/31/2023,19:42:57,3,Deep,F,13890,436,491,1507,0.112,70.9
3/31/2023,19:43:35,4,Deep,FO,13891,364,914,0,0.602,0
3/31/2023,19:43:55,4,Deep,F,13892,457,898,25,0.491,5.2
3/31/2023,19:44:15,4,Deep,F,13893,426,834,45,0.489,9.2
3/31/2023,19:44:35,4,Deep,F,13894,407,788,66,0.484,13.4
3/31/2023,19:44:55,4,Deep,F,13895,403,761,91,0.47,18
3/31/2023,19:45:15,4,Deep,F,13896,408,744,126,0.452,23.9
3/31/2023,19:45:35,4,Deep,F,13897,428,724,191,0.409,32.8
3/31/2023,19:45:55,4,Deep,F,13898,442,689,286,0.358,43
3/31/2023,19:46:15,4,Deep,F,13899,465,665,422,0.301,53.3
3/31/2023,19:46:35,4,Deep,F,13900,469,615,632,0.237,62.9
3/31/2023,19:46:55,4,Deep,F,13901,443,549,826,0.193,67
3/31/2023,19:47:15,4,Deep,F,13902,421,494,1155,0.148,71.8
3/31/2023,19:47:35,4,Deep,F,13903,398,444,1506,0.104,65.8
3/31/2023,19:48:19,5,Deep,FO,13904,359,1034,0,0.653,0
3/31/2023,19:48:39,5,Deep,F,13905,457,986,25,0.537,5.6
3/31/2023,19:48:59,5,Deep,F,13906,475,972,45,0.511,9.7
3/31/2023,19:49:19,5,Deep,F,13907,487,943,66,0.484,13.4
3/31/2023,19:49:39,5,Deep,F,13908,501,928,91,0.46,17.6
3/31/2023,19:49:59,5,Deep,F,13909,522,917,126,0.431,22.8
3/31/2023,19:50:19,5,Deep,F,13910,554,888,191,0.376,30.2
3/31/2023,19:50:39,5,Deep,F,13911,608,882,286,0.311,37.4
3/31/2023,19:50:59,5,Deep,F,13912,653,862,422,0.242,42.9
3/31/2023,19:51:19,5,Deep,F,13913,695,844,632,0.177,47
3/31/2023,19:51:39,5,Deep,F,13914,711,820,826,0.133,46.1
3/31/2023,19:51:59,5,Deep,F,13915,724,799,1154,0.094,45.6
3/31/2023,19:52:19,5,Deep,F,13916,716,770,1506,0.07,44.3
3/31/2023,19:53:04,6,Deep,FO,13917,391,1070,0,0.635,0
3/31/2023,19:53:24,6,Deep,F,13918,505,1099,25,0.54,5.7
3/31/2023,19:53:44,6,Deep,F,13919,536,1083,45,0.505,9.5
3/31/2023,19:54:04,6,Deep,F,13920,555,1060,66,0.476,13.2
3/31/2023,19:54:24,6,Deep,F,13921,573,1047,91,0.453,17.3
3/31/2023,19:54:44,6,Deep,F,13922,592,1025,126,0.422,22.3
3/31/2023,19:55:04,6,Deep,F,13923,632,998,191,0.367,29.4
3/31/2023,19:55:24,6,Deep,F,13924,678,967,286,0.299,35.9
3/31/2023,19:55:44,6,Deep,F,13925,708,915,422,0.226,40.1
3/31/2023,19:56:04,6,Deep,F,13926,751,896,632,0.162,43
3/31/2023,19:56:24,6,Deep,F,13927,781,886,825,0.119,41.2
3/31/2023,19:56:44,6,Deep,F,13928,782,850,1154,0.08,38.8
3/31/2023,19:57:04,6,Deep,F,13929,779,822,1506,0.052,32.9
3/31/2023,19:57:44,,Deep,FO,13930,342,828,0,0.587,0
3/31/2023,19:58:04,7,Deep,F,13931,534,1089,25,0.51,5.4
3/31/2023,19:58:24,7,Deep,F,13932,509,1057,45,0.518,9.8
3/31/2023,19:58:44,7,Deep,F,13933,509,1038,66,0.51,14.1
3/31/2023,19:59:04,7,Deep,F,13934,519,1025,91,0.494,18.9
3/31/2023,19:59:23,7,Deep,F,13935,528,1006,126,0.475,25.1
3/31/2023,19:59:43,7,Deep,F,13936,539,965,190,0.441,35.2
3/31/2023,20:00:03,7,Deep,F,13937,577,950,286,0.393,47.2
3/31/2023,20:00:23,7,Deep,F,13938,615,921,422,0.332,58.8
3/31/2023,20:00:43,7,Deep,F,13939,636,863,631,0.263,69.7
3/31/2023,20:01:03,7,Deep,F,13940,615,788,825,0.22,76.2
3/31/2023,20:01:23,7,Deep,F,13941,586,702,1154,0.165,80
3/31/2023,20:01:43,7,Deep,F,13942,547,624,1506,0.123,77.8
