"","Sample_name","rep","rank","intercept_b0","slope_b1","rsq","row","endrow","time","endtime","oxy","endoxy","rate.2pt","rate"
"1","RSS_T1-34.5_13A",NA,1,3.81801305418719,3.4050355774495e-05,0.494,61,88,900,1305,3.8424,3.8643,5.40740740740741e-05,3.4050355774495e-05
"2","RSS_T1-34.5_13B",NA,1,4.21538587848932,-5.20215289180781e-05,0.872,61,88,900,1305,4.1686,4.1458,-5.62962962962945e-05,-5.20215289180781e-05
"3","RSS_T1-34.5_9A",NA,1,2.68220826585179,-0.000801812070282658,0.999,81,114,1200,1695,1.7281,1.3321,-8e-04,-0.000801812070282658
"4","RSS_T1-34.5_9B",NA,1,4.16785674560733,-0.00024807333842628,0.993,81,114,1200,1695,3.8683,3.7478,-0.000243434343434344,-0.00024807333842628
"5","RSS_T1-34.5_14A",NA,1,3.65488944232238,-0.000611302266361089,0.999,81,114,1200,1695,2.9243,2.6205,-0.000613737373737374,-0.000611302266361089
"6","RSS_T1-34.5_14B",NA,1,4.24209851795263,-0.000204310669722433,0.978,81,114,1200,1695,4.0047,3.895,-0.000221616161616161,-0.000204310669722433
"7","RSS_T1-34.5_15A",NA,1,4.04838085561497,-0.000146659536541887,0.988,81,114,1200,1695,3.8715,3.7983,-0.000147878787878789,-0.000146659536541887
"8","RSS_T1-34.5_15B",NA,1,4.37767205500381,-0.000143920550038193,0.859,81,114,1200,1695,4.1883,4.126,-0.000125858585858585,-0.000143920550038193
"9","Field_8",NA,1,3.80571070660045,0.000434476822619109,0.993,870,1433,1300,2100.28,4.3929,4.7251,0.000415104713350328,0.000434476822619109
"10","Field_9",NA,1,3.41327836918084,0.000446694957062142,0.994,870,1433,1300,2100.28,4.0211,4.3574,0.000420227920227921,0.000446694957062142
"11","Field_13",NA,1,3.78045116661665,0.000368325848699619,0.992,870,1433,1300,2100.28,4.283,4.5567,0.000342005298145649,0.000368325848699619
"12","Field_14",NA,1,3.82038547826266,0.000373501937945782,0.985,870,1433,1300,2100.28,4.3328,4.6045,0.000339506172839506,0.000373501937945782
"13","Field_15",NA,1,2.64649584412913,0.000988237710899803,0.997,1075,1619,1400.42,2100.03,4.0583,4.7239,0.000951387201440803,0.000988237710899803
"14","Field_drift1",NA,1,4.47840431659272,5.66400818986923e-05,0.839,999,1619,1300.25,2100.03,4.5669,4.6045,4.7012928555352e-05,5.66400818986923e-05
"15","Field_drift2",NA,1,4.56602066266653,-1.47760810950856e-05,0.794,999,1619,1300.25,2100.03,4.5477,4.5329,-1.85050888994475e-05,-1.47760810950856e-05
"16","Field_drift3",NA,1,4.55614304328305,2.04778802933594e-05,0.41,999,1619,1300.25,2100.03,4.5911,4.6064,1.91302608217258e-05,2.04778802933594e-05
"17","CBASS_T0_8",NA,1,3.69268994568943,0.0002806200625185,0.994,1092,1423,1500.09,1949.69,4.1195,4.2381,0.000263790035587188,0.0002806200625185
"18","CBASS_T0_9",NA,1,3.51848603366683,0.000127037464295459,0.992,1092,1423,1500.09,1949.69,3.7095,3.7676,0.000129225978647687,0.000127037464295459
"19","CBASS_T0_13",NA,1,4.15380611483778,0.000118118366852873,0.99,944,1387,1299.5,1900.06,4.3078,4.3791,0.000118722525642733,0.000118118366852873
"20","CBASS_T0_14",NA,1,4.35471522566031,1.87823348540674e-05,0.735,944,1387,1299.5,1900.06,4.3777,4.3943,2.76408685227128e-05,1.87823348540674e-05
"21","CBASS_T0_15",NA,1,3.34113292271603,0.000402058571367542,0.99,1131,1498,1500.02,1999.03,3.9502,4.1458,0.000391976112703153,0.000402058571367542
"22","CBASS_T0_drift1",NA,1,4.51127793546133,-5.78382713560133e-06,0.196,907,1425,1199.37,1899.23,4.51,4.4992,-1.5431657760123e-05,-5.78382713560133e-06
"23","CBASS_T0_drift2",NA,1,4.42688740453265,-1.08853402471018e-06,0.00936,907,1425,1199.37,1899.23,4.4234,4.4257,3.28637156002625e-06,-1.08853402471018e-06
"24","CBASS_T0_drift3",NA,1,4.49261550577577,5.49313739153563e-06,0.243,907,1425,1199.37,1899.23,4.4955,4.5034,1.12879718800906e-05,5.49313739153563e-06
"25","CBASS_T1-27A_9",NA,1,3.2947773459151,4.51668043986671e-05,0.896,931,1197,1449.84,1850.05,3.3618,3.3759,3.52315034606831e-05,4.51668043986671e-05
"26","CBASS_T1-27A_13",NA,1,4.10116929236531,-4.35092241279596e-05,0.943,762,1163,1199.53,1799.77,4.0513,4.0249,-4.39824070371862e-05,-4.35092241279596e-05
"27","CBASS_T1-27A_14",NA,1,3.47169915215649,3.18221298562541e-05,0.819,966,1197,1500.2,1850.05,3.519,3.5295,3.00128626554236e-05,3.18221298562541e-05
"28","CBASS_T1-27A_15",NA,1,3.85618475944425,9.12148685940017e-05,0.854,901,1094,1400.05,1700.23,3.9871,4.0173,0.000100606302884935,9.12148685940017e-05
"29","CBASS_T1-27B_9",NA,1,3.94661532387176,3.96735714740351e-05,0.829,887,1176,1499.83,1949.45,4.0049,4.0207,3.51407855522432e-05,3.96735714740351e-05
"30","CBASS_T1-27B_13",NA,1,3.87477531575201,-1.36343671610736e-05,0.542,887,1176,1499.83,1949.45,3.8566,3.8472,-2.09065433032335e-05,-1.36343671610736e-05
"31","CBASS_T1-27B_14",NA,1,3.74434027529927,5.33813261479781e-05,0.919,825,1176,1399.78,1949.45,3.8165,3.849,5.91263849218626e-05,5.33813261479781e-05
"32","CBASS_T1-27B_15",NA,1,3.96180346246819,3.414107473558e-06,0.0407,887,1143,1499.83,1901,3.9696,3.9692,-9.97083530672672e-07,3.414107473558e-06
"33","CBASS_T1-29.5A_9",NA,1,3.6575665350081,3.94339036177886e-05,0.914,1420,1832,1999.67,2549.64,3.7371,3.7619,4.50933687292033e-05,3.94339036177886e-05
"34","CBASS_T1-29.5A_13",NA,1,3.70223559982735,1.60847591159368e-05,0.627,1420,1832,1999.67,2549.64,3.7354,3.7458,1.89101223703115e-05,1.60847591159368e-05
"35","CBASS_T1-29.5A_14",NA,1,3.91313578258957,6.26570547461954e-06,0.208,1420,1832,1999.67,2549.64,3.9223,3.9303,1.45462479771624e-05,6.26570547461954e-06
"36","CBASS_T1-29.5A_15",NA,1,3.79369621555966,7.28160957391029e-05,0.949,1420,1832,1999.67,2549.64,3.9402,3.9819,7.58223175809591e-05,7.28160957391029e-05
"37","CBASS_T1-29.5B_9",NA,1,3.25077032093308,0.000166298793950098,0.988,1129,1899,1599.55,2650.12,3.5284,3.7051,0.000168194408749536,0.000166298793950098
"38","CBASS_T1-29.5B_13",NA,1,3.91615037902735,1.60998128283012e-05,0.583,1563,1825,2200.31,2550.25,3.9526,3.9564,1.08590044007545e-05,1.60998128283012e-05
"39","CBASS_T1-29.5B_14",NA,1,3.71546313445291,7.95719769161406e-06,0.218,1563,1825,2200.31,2550.25,3.7331,3.7335,1.14305309481613e-06,7.95719769161406e-06
"40","CBASS_T1-29.5B_15",NA,1,3.71231683502164,6.08704205927425e-05,0.959,1414,1899,1999.34,2650.12,3.8348,3.878,6.63818802052923e-05,6.08704205927425e-05
"41","CBASS_T1-32A_9",NA,1,3.89308018328052,-2.53749684994727e-05,0.722,1054,1321,1598.81,2000.33,3.8529,3.8396,-3.31241283124131e-05,-2.53749684994727e-05
"42","CBASS_T1-32A_13",NA,1,3.93104020051382,-0.000136924856262469,0.977,1054,1321,1598.81,2000.33,3.7139,3.658,-0.000139220960350668,-0.000136924856262469
"43","CBASS_T1-32A_14",NA,1,4.06788035153024,-4.34765944501292e-05,0.886,915,1190,1399.2,1800.16,4.009,3.9923,-4.16500399042302e-05,-4.34765944501292e-05
"44","CBASS_T1-32A_15",NA,1,4.06752393611881,-3.47244192703776e-05,0.797,987,1321,1500.25,2000.33,4.02,3.9963,-4.73924172132447e-05,-3.47244192703776e-05
"45","CBASS_T1-32B_9",NA,1,4.02328800324003,-1.83571561154511e-05,0.0206,82,161,110.25,199.72,4.0185,4.0222,4.13546440147465e-05,-1.83571561154511e-05
"46","CBASS_T1-32B_13",NA,1,4.02241315017416,8.26407122628987e-05,0.661,82,161,110.25,199.72,4.0318,4.0378,6.70615848887921e-05,8.26407122628987e-05
"47","CBASS_T1-32B_14",NA,1,4.0249795209654,-6.34517972235104e-05,0.509,82,161,110.25,199.72,4.0202,4.0136,-7.37677433776653e-05,-6.34517972235104e-05
"48","CBASS_T1-32B_15",NA,1,4.07537182857933,-2.96221539340376e-06,0.00148,82,161,110.25,199.72,4.0717,4.0743,2.90600201184772e-05,-2.96221539340376e-06
"49","CBASS_T1-32B2_9",NA,1,3.8796869155987,4.32709869872041e-05,0.947,921,1558,1299.98,2199.56,3.934,3.9758,4.64661286378086e-05,4.32709869872041e-05
"50","CBASS_T1-32B2_13",NA,1,4.00587243645169,-1.62272502333192e-05,0.36,1065,1288,1500.16,1799.59,3.9815,3.9789,-8.68316467955836e-06,-1.62272502333192e-05
"51","CBASS_T1-32B2_14",NA,1,3.9905601454972,-6.58465991558622e-05,0.984,992,1432,1399.36,1999.39,3.8991,3.8612,-6.31635084912414e-05,-6.58465991558622e-05
"52","CBASS_T1-32B2_15",NA,1,4.06750585295785,-3.42456487736049e-05,0.898,992,1432,1399.36,1999.39,4.0191,3.9961,-3.83314167624947e-05,-3.42456487736049e-05
"53","CBASS_T1-34.5A_9",NA,1,3.87307761986647,-9.87838290738371e-05,0.983,1044,1486,1399.44,2000.09,3.7386,3.6784,-0.000100224756513777,-9.87838290738371e-05
"54","CBASS_T1-34.5A_13",NA,1,3.80657380783396,-0.000121986284675998,0.963,1044,1486,1399.44,2000.09,3.6336,3.5655,-0.000113377174727378,-0.000121986284675998
"55","CBASS_T1-34.5A_14",NA,1,3.74390346605835,-3.07387814461385e-05,0.499,1044,1486,1399.44,2000.09,3.7053,3.6741,-5.1943727628402e-05,-3.07387814461385e-05
"56","CBASS_T1-34.5A_15",NA,1,3.98594182737462,-4.63467856312997e-05,0.932,1044,1486,1399.44,2000.09,3.9196,3.894,-4.26204944643301e-05,-4.63467856312997e-05
"57","CBASS_T1-34.5B_9",NA,1,3.92208646750919,-8.34055006423859e-05,0.886,896,1340,1399.39,2000.25,3.7933,3.7523,-6.82355290749924e-05,-8.34055006423859e-05
"58","CBASS_T1-34.5B_13",NA,1,3.9948505916233,-0.000103760041072293,0.986,896,1340,1399.39,2000.25,3.8478,3.7888,-9.81925906201107e-05,-0.000103760041072293
"59","CBASS_T1-34.5B_14",NA,1,3.87101680112716,-6.69551619409856e-05,0.977,896,1340,1399.39,2000.25,3.7775,3.7388,-6.44076823220051e-05,-6.69551619409856e-05
"60","CBASS_T1-34.5B_15",NA,1,3.67931269472603,-0.000248575002637654,0.998,896,1340,1399.39,2000.25,3.3315,3.1822,-0.00024847718270479,-0.000248575002637654
"61","CBASS_T2-27A_9",NA,1,3.39776865914088,0.000306556730797414,0.985,687,896,1000.72,1300.42,3.7086,3.7997,0.00030397063730397,0.000306556730797414
"62","CBASS_T2-27A_13",NA,1,3.90462859466958,0.000100106972925795,0.817,758,896,1100.52,1300.42,4.0128,4.0313,9.25462731365658e-05,0.000100106972925795
"63","CBASS_T2-27A_14",NA,1,3.86601735992131,9.59078679997098e-07,0.000278,758,896,1100.52,1300.42,3.8726,3.8718,-4.00200100049981e-06,9.59078679997098e-07
"64","CBASS_T2-27A_15",NA,1,4.09582489355096,0.000109889134634204,0.944,722,896,1050.34,1300.42,4.2138,4.2431,0.000117162507997441,0.000109889134634204
"65","CBASS_T2-27B_9",NA,1,3.54574875273463,0.000169352078602391,0.945,790,940,1099.7,1299.45,3.7355,3.7654,0.000149687108886108,0.000169352078602391
"66","CBASS_T2-27B_13",NA,1,4.11431207082071,4.09327485328429e-05,0.822,720,940,1000.08,1299.45,4.1553,4.1676,4.10862811904992e-05,4.09327485328429e-05
"67","CBASS_T2-27B_14",NA,1,3.89820214319044,0.000243665839220955,0.963,277,417,399.44,599.31,3.9934,4.0374,0.000220143093010457,0.000243665839220955
"68","CBASS_T2-27B_15",NA,1,4.2677973645565,-7.9791269126663e-05,0.926,720,940,1000.08,1299.45,4.1916,4.1639,-9.25276413802328e-05,-7.9791269126663e-05
"69","CBASS_T2-29.5A_9",NA,1,3.66932193256898,0.000225765230779471,0.991,640,1071,999.95,1599.7,3.9024,4.0347,0.000220591913297207,0.000225765230779471
"70","CBASS_T2-29.5A_13",NA,1,4.05026962116794,2.96560361856129e-05,0.866,706,1071,1100.03,1599.7,4.0853,4.0974,2.42159825484824e-05,2.96560361856129e-05
"71","CBASS_T2-29.5A_14",NA,1,3.86980883598604,7.98627373690701e-05,0.858,901,1071,1380.03,1599.7,3.9798,3.9965,7.60231255974878e-05,7.98627373690701e-05
"72","CBASS_T2-29.5A_15",NA,1,4.20022467691069,6.12897614452059e-05,0.968,640,1071,999.95,1599.7,4.2637,4.2999,6.03584827011255e-05,6.12897614452059e-05
"73","CBASS_T2-29.5B_9",NA,1,3.90216602632631,0.000123648821650221,0.976,805,1189,1099.83,1549.97,4.0399,4.0959,0.000124405740436309,0.000123648821650221
"74","CBASS_T2-29.5B_13",NA,1,3.83544383665381,0.000134301539539755,0.729,732,1214,999.84,1585.55,3.9528,4.0475,0.000161684109883732,0.000134301539539755
"75","CBASS_T2-29.5B_14",NA,1,3.88581738773557,2.94529693710457e-05,0.793,883,1214,1200.03,1585.55,3.9228,3.9317,2.30857024278899e-05,2.94529693710457e-05
"76","CBASS_T2-29.5B_15",NA,1,4.04791714176994,5.95250435826583e-05,0.954,770,1214,1049.86,1585.55,4.1143,4.1438,5.50691631353948e-05,5.95250435826583e-05
"77","CBASS_T2-32A_9",NA,1,4.12864922242217,7.77870090259586e-05,0.955,620,888,900.66,1299.81,4.2,4.2275,6.88964048603279e-05,7.77870090259586e-05
"78","CBASS_T2-32A_13",NA,1,4.11233824520616,4.42913964690839e-05,0.832,684,888,999.47,1299.81,4.1562,4.1678,3.86228940534049e-05,4.42913964690839e-05
"79","CBASS_T2-32A_14",NA,1,4.11067004699732,8.81533454602211e-05,0.947,620,822,900.66,1200.08,4.1907,4.2185,9.28461692605706e-05,8.81533454602211e-05
"80","CBASS_T2-32A_15",NA,1,3.99142101033413,0.000112342219827992,0.957,684,908,999.47,1330.48,4.1068,4.1436,0.000111174888976165,0.000112342219827992
"81","CBASS_T2-32B_9",NA,1,3.99396511120749,4.84234763329663e-05,0.861,705,961,1000.55,1349.61,4.0429,4.0588,4.55509081533242e-05,4.84234763329663e-05
"82","CBASS_T2-32B_13",NA,1,4.04151024556909,5.90147879856403e-05,0.671,738,961,1049.55,1349.61,4.1033,4.1199,5.53222688795587e-05,5.90147879856403e-05
"83","CBASS_T2-32B_14",NA,1,4.00536335793808,2.22858671858704e-05,0.441,738,961,1049.55,1349.61,4.0307,4.0415,3.59928014397111e-05,2.22858671858704e-05
"84","CBASS_T2-32B_15",NA,1,4.0646023761514,3.24501059273596e-05,0.399,738,961,1049.55,1349.61,4.0997,4.1054,1.89962007598482e-05,3.24501059273596e-05
"85","CBASS_T2-34.5A_9",NA,1,4.02190333224061,-5.2057303133337e-05,0.411,663,904,999.53,1350.47,3.9631,3.9598,-9.40331680629127e-06,-5.2057303133337e-05
"86","CBASS_T2-34.5A_13",NA,1,4.10339359902594,-1.09722282516927e-05,0.0456,729,904,1099.91,1350.47,4.0954,4.1014,2.39463601532576e-05,-1.09722282516927e-05
"87","CBASS_T2-34.5A_14",NA,1,4.08949245779231,2.90584168273689e-05,0.421,802,904,1200.25,1350.47,4.1275,4.1282,4.65983224603419e-06,2.90584168273689e-05
"88","CBASS_T2-34.5A_15",NA,1,4.14160971440222,3.94919087073188e-05,0.381,802,904,1200.25,1350.47,4.1875,4.1949,4.92610837438399e-05,3.94919087073188e-05
"89","CBASS_T2-34.5B_9",NA,1,4.00076279392435,-0.000199872811877891,0.966,753,969,1000.3,1299.78,3.8027,3.7409,-0.000206357686656873,-0.000199872811877891
"90","CBASS_T2-34.5B_13",NA,1,4.21271115526699,-0.000166182803966083,0.971,753,969,1000.3,1299.78,4.0491,4.0044,-0.000149258715106183,-0.000166182803966083
"91","CBASS_T2-34.5B_14",NA,1,4.03025540442638,-0.000149564900251012,0.972,753,969,1000.3,1299.78,3.8798,3.8382,-0.000138907439561907,-0.000149564900251012
"92","CBASS_T2-34.5B_15",NA,1,4.1775819907203,-0.000334070016694363,0.992,753,969,1000.3,1299.78,3.8419,3.7512,-0.000302858287698678,-0.000334070016694363
"93","RSS_T1-27A_9",NA,1,2.18944452050502,0.000370240512271864,0.948,827,1485,1099.59,1950.11,2.6143,3.0132,0.000469007195597987,0.000370240512271864
"94","RSS_T1-27A_13",NA,1,3.01185000710755,0.000314828699593446,0.998,827,1485,1099.59,1950.11,3.3665,3.6321,0.000312279546630297,0.000314828699593446
"95","RSS_T1-27A_14",NA,1,2.74197240764732,0.000318999271403083,0.997,827,1485,1099.59,1950.11,3.1024,3.366,0.000309928044020129,0.000318999271403083
"96","RSS_T1-27A_15",NA,1,1.70761885539571,0.000401602270445014,0.995,827,1485,1099.59,1950.11,2.1662,2.4978,0.000389879132765837,0.000401602270445014
"97","RSS_T1-27B_9",NA,1,1.96544419869776,0.000365940535487839,0.987,1111,1698,1499.92,2300.42,2.5325,2.8272,0.000368144909431605,0.000365940535487839
"98","RSS_T1-27B_13",NA,1,3.78521462291865,7.00918070356581e-05,0.985,1111,1698,1499.92,2300.42,3.8917,3.9491,7.17051842598375e-05,7.00918070356581e-05
"99","RSS_T1-27B_14",NA,1,4.37027145417297,-0.00015289818068499,0.997,1111,1698,1499.92,2300.42,4.144,4.0247,-0.000149031855090568,-0.00015289818068499
"100","RSS_T1-27B_15",NA,1,3.07778850188586,0.000128571808292098,0.994,1256,1698,1699.27,2300.42,3.2996,3.3762,0.000127422440322715,0.000128571808292098
"101","RSS_T1-29.5A_9",NA,1,2.55318491421504,7.8530911977349e-05,0.979,1444,1836,1849.86,2339.72,2.699,2.7397,8.30849630506679e-05,7.8530911977349e-05
"102","RSS_T1-29.5A_13",NA,1,3.65634271559821,3.9260841143373e-05,0.952,1403,1836,1799.67,2339.72,3.7273,3.7501,4.22183131191559e-05,3.9260841143373e-05
"103","RSS_T1-29.5A_14",NA,1,3.64722390017787,9.74457547924351e-06,0.397,1403,1836,1799.67,2339.72,3.6654,3.6696,7.77705767984443e-06,9.74457547924351e-06
"104","RSS_T1-29.5A_15",NA,1,3.08581876769066,0.000156115381063665,0.992,1403,1836,1799.67,2339.72,3.3722,3.4524,0.00014850476807703,0.000156115381063665
"105","RSS_T1-29.5B_9",NA,1,3.00260845414847,7.70541664084216e-05,0.958,1259,1586,1799.25,2249.86,3.1465,3.179,7.21244535185631e-05,7.70541664084216e-05
"106","RSS_T1-29.5B_13",NA,1,3.39677674322312,0.00019872908658036,0.998,1113,1586,1599.55,2249.86,3.7201,3.8429,0.000188833018099061,0.00019872908658036
"107","RSS_T1-29.5B_14",NA,1,2.12420790327417,0.000229470194160408,0.983,1113,1586,1599.55,2249.86,2.5002,2.6466,0.000225123402684873,0.000229470194160408
"108","RSS_T1-29.5B_15",NA,1,3.07804302923723,0.000190690178731571,0.994,1113,1586,1599.55,2249.86,3.3884,3.51,0.000186987744306561,0.000190690178731571
"109","RSS_T1-32A_9",NA,1,2.37948432083643,-0.000264659880189772,0.997,1246,1841,1700.25,2499.87,1.9398,1.7244,-0.000269377954528401,-0.000264659880189772
"110","RSS_T1-32A_13",NA,1,3.933994510459,-4.43620000924944e-05,0.974,1246,1841,1700.25,2499.87,3.862,3.8268,-4.4020909932218e-05,-4.43620000924944e-05
"111","RSS_T1-32A_14",NA,1,2.39597872459828,-0.000297056765347768,0.995,1246,1841,1700.25,2499.87,1.9013,1.6554,-0.000307521072509442,-0.000297056765347768
"112","RSS_T1-32A_15",NA,1,3.69992889747941,-6.83937425655063e-05,0.982,1246,1841,1700.25,2499.87,3.585,3.5312,-6.72819589304918e-05,-6.83937425655063e-05
"113","RSS_T1-32A2_9",NA,1,3.74083833135408,-0.00110457759204124,0.98,41,75,55.47,100.08,3.6748,3.6305,-0.000993050885451688,-0.00110457759204124
"114","RSS_T1-32A2_13",NA,1,4.34090581785885,2.99259601605345e-05,0.0459,41,75,55.47,100.08,4.3459,4.3447,-2.68997982515301e-05,2.99259601605345e-05
"115","RSS_T1-32A2_14",NA,1,3.86682483800874,-0.00100308406025972,0.987,41,75,55.47,100.08,3.8095,3.7676,-0.000939251288948667,-0.00100308406025972
"116","RSS_T1-32A2_15",NA,1,4.30080014711244,-0.000403379237324992,0.914,41,75,55.47,100.08,4.2793,4.2613,-0.000403496973772692,-0.000403379237324992
"117","RSS_T1-32B_9",NA,1,3.23690225191556,-0.000143586950252081,0.987,1113,1736,1599.75,2499.37,3.0135,2.8853,-0.000142504613058847,-0.000143586950252081
"118","RSS_T1-32B_13",NA,1,3.27103478172234,-0.000311307816379724,0.998,1113,1736,1599.75,2499.37,2.7834,2.4962,-0.00031924590382606,-0.000311307816379724
"119","RSS_T1-32B_14",NA,1,1.63668844520819,-6.99526722873879e-05,0.911,1404,1736,1999.3,2499.37,1.501,1.4671,-6.77905093286936e-05,-6.99526722873879e-05
"120","RSS_T1-32B_15",NA,1,3.35564452216847,-6.09948826652071e-05,0.87,1404,1736,1999.3,2499.37,3.2416,3.2077,-6.77905093286941e-05,-6.09948826652071e-05
"121","RSS_T3-27A_9",NA,1,3.139946999804,0.00011396181013733,0.989,1198,1737,1599.75,2329.77,3.3221,3.4126,0.000123969206323114,0.00011396181013733
"122","RSS_T3-27A_13",NA,1,4.13255735173479,-1.50255326417244e-05,0.462,1493,1737,2000.45,2329.77,4.105,4.1002,-1.45754888861908e-05,-1.50255326417244e-05
"123","RSS_T3-27A_14",NA,1,4.40857531805355,-0.000153826383073865,0.986,1493,1737,2000.45,2329.77,4.0987,4.0499,-0.000148184137009595,-0.000153826383073865
"124","RSS_T3-27A_15",NA,1,4.07626210362798,6.36452364023588e-05,0.891,1271,1737,1699.75,2329.77,4.1921,4.229,5.8569569220025e-05,6.36452364023588e-05
"125","RSS_T3-27B_9",NA,1,4.21360116249983,-7.23503863556834e-05,0.921,1469,1765,1999.83,2400.11,4.0687,4.0406,-7.02008593984194e-05,-7.23503863556834e-05
"126","RSS_T3-27B_13",NA,1,3.75873490614014,0.000264455009661483,0.994,1172,1765,1599.37,2400.11,4.1921,4.3926,0.000250393386117841,0.000264455009661483
"127","RSS_T3-27B_14",NA,1,2.90560168769649,0.000397787585940312,0.883,952,1765,1299.75,2400.11,3.3556,3.884,0.000480206477879967,0.000397787585940312
"128","RSS_T3-27B_15",NA,1,2.99833315768252,0.000218277200245267,0.997,1172,1765,1599.37,2400.11,3.3563,3.5305,0.000217548767390164,0.000218277200245267
"129","RSS_T3-29.5A_9",NA,1,1.32893770287085,-1.02684348402429e-05,0.0925,1161,1393,1799.73,2130.52,1.3142,1.3127,-4.53459899029613e-06,-1.02684348402429e-05
"130","RSS_T3-29.5A_13",NA,1,4.79736830507763,-0.000214331528269998,0.994,1089,1371,1699.66,2099.98,4.4294,4.3504,-0.000197342126298962,-0.000214331528269998
"131","RSS_T3-29.5A_14",NA,1,4.07261330789218,-0.000269380514621806,0.989,1023,1371,1600.37,2099.98,3.6492,3.5089,-0.000280819038850303,-0.000269380514621806
"132","RSS_T3-29.5A_15",NA,1,4.5978153416625,-0.000127903050334385,0.84,831,959,1300,1500.22,4.4277,4.4102,-8.74038557586658e-05,-0.000127903050334385
"133","RSS_T3-29.5B_9",NA,1,3.77892408970361,-6.62424373489263e-05,0.892,1261,1528,1799.19,2169.3,3.6657,3.6358,-8.07867931155603e-05,-6.62424373489263e-05
"134","RSS_T3-29.5B_13",NA,1,3.86234409959712,7.53804770158122e-05,0.929,1333,1528,1899.53,2169.3,4.0075,4.0263,6.96889943285009e-05,7.53804770158122e-05
"135","RSS_T3-29.5B_14",NA,1,2.83184168656392,6.25770111237601e-05,0.915,1405,1528,1999.8,2169.3,2.9572,2.9699,7.49262536873165e-05,6.25770111237601e-05
"136","RSS_T3-29.5B_15",NA,1,3.51570314580387,2.36226888155596e-05,0.656,1340,1528,1909.39,2169.3,3.5594,3.5693,3.80901081143473e-05,2.36226888155596e-05
"137","RSS_T3-32A_9",NA,1,3.33048517797775,-0.000133439830099763,0.974,974,1225,1500.3,1870.42,3.1358,3.0837,-0.000140765157246299,-0.000133439830099763
"138","RSS_T3-32A_13",NA,1,4.29155335048534,4.36195086510562e-05,0.731,1056,1225,1630.59,1870.42,4.3632,4.3717,3.54417712546376e-05,4.36195086510562e-05
"139","RSS_T3-32A_14",NA,1,3.49967566242625,-0.00016837732795567,0.96,974,1225,1500.3,1870.42,3.2551,3.1922,-0.000169944882740733,-0.00016837732795567
"140","RSS_T3-32A_15",NA,1,4.35529430184222,-2.25508655550086e-05,0.535,974,1225,1500.3,1870.42,4.3259,4.3138,-3.26920998595056e-05,-2.25508655550086e-05
"141","RSS_T3-32B_9",NA,1,2.48182778538455,-4.23602981290906e-05,0.819,1047,1341,1500.45,1910.06,2.4244,2.4046,-4.83386636068456e-05,-4.23602981290906e-05
"142","RSS_T3-32B_13",NA,1,3.82026047215867,4.96679662783861e-05,0.872,1047,1341,1500.45,1910.06,3.8987,3.9188,4.90710676008892e-05,4.96679662783861e-05
"143","RSS_T3-32B_14",NA,1,3.43612223589429,8.85437149924564e-05,0.94,1047,1341,1500.45,1910.06,3.572,3.6056,8.20292473328284e-05,8.85437149924564e-05
"144","RSS_T3-32B_15",NA,1,4.01975271542292,4.99939001556422e-05,0.93,1047,1341,1500.45,1910.06,4.0947,4.1139,4.68738556187607e-05,4.99939001556422e-05
"145","RSS_T3-34.5A_9",NA,1,3.12924709198839,-0.000383813157921934,0.816,742,1000,1199.81,1600.12,2.6464,2.4798,-0.000416177462466588,-0.000383813157921934
"146","RSS_T3-34.5A_13",NA,1,4.44437274233894,0.00013504775504527,0.96,742,1000,1199.81,1600.12,4.6039,4.6592,0.000138142939222103,0.00013504775504527
"147","RSS_T3-34.5A_14",NA,1,4.19413753793997,0.000114831984679391,0.952,742,1000,1199.81,1600.12,4.341,4.3779,9.2178561614749e-05,0.000114831984679391
"148","RSS_T3-34.5A_15",NA,1,4.39428173865688,8.21713269158864e-05,0.955,742,1000,1199.81,1600.12,4.4909,4.5202,7.31932752117112e-05,8.21713269158864e-05
"149","RSS_T3-34.5B_9",NA,1,4.37953431952623,7.11825043638894e-05,0.857,593,857,850.37,1199.66,4.4374,4.4712,9.67677288213215e-05,7.11825043638894e-05
"150","RSS_T3-34.5B_13",NA,1,4.49973666875371,0.000101196543915348,0.969,593,857,850.37,1199.66,4.5849,4.6201,0.000100775859600904,0.000101196543915348
"151","RSS_T3-34.5B_14",NA,1,4.39058146245861,0.000111349711012529,0.969,593,857,850.37,1199.66,4.4794,4.524,0.000127687594835237,0.000111349711012529
"152","RSS_T3-34.5B_15",NA,1,4.48345095378383,8.04009245862348e-05,0.87,593,857,850.37,1199.66,4.5509,4.5754,7.01422886426744e-05,8.04009245862348e-05
